question,value
task,Euclidean traveling salesperson
instructions_understand,Strongly disagree
instructions_execute,Strongly disagree
instructions_replicate,Strongly disagree
goal_maximize,Strongly disagree
goal_standard,Strongly agree
goal_optimize,Strongly agree
goal_full,Strongly agree
goal_partial,Strongly disagree
measure_easy,Strongly disagree
measure_immediate,Strongly agree
outcome_certain,Strongly agree
outcome_probablistic,Strongly disagree
outcome_evident,Strongly disagree
solution_valid,Strongly agree
solution_optimal,Strongly agree
solution_count,More than 20
solution_range,more than 20
solution_singularity,Strongly disagree
solution_path,Strongly agree
solution_objectivity,Strongly disagree
solution_verifiability,Strongly agree
solution_demonstrability,Strongly agree
stakeholder_multiplicity,Strongly disagree
metric_multiplicity,NA
objective_multiplicity,Strongly agree
solution_multiplicity,Strongly agree
individual_theoretical,Strongly disagree
individual_practical,Strongly agree
group_dependencies,Strongly disagree
participation_equal,Strongly agree
conflict_cooperation,Strongly agree
conflict_interests,Strongly disagree
external_adversary,Strongly agree
external_standard,Strongly agree
task_divisibility,Strongly disagree
task_specialization,Strongly disagree
skills_specialization,Strongly agree
subtasks_additive,Strongly agree
subtasks_disjunctive,Strongly agree
performance_all,"c(""Best performing member"", ""Worst performing member"")"
performance_worst,Strongly agree
performance_best,Strongly agree
performance_random,Strongly disagree
performance_average,Strongly disagree
performance_cumulative,Strongly disagree
submission_together,Strongly disagree
submission_separate,Strongly agree
subtasks_discretionary_weight,Strongly agree
subtasks_discretionary_combination,Strongly agree
complexity_easier,remove harder problems
complexity_harder,increase difficulty of problems
familiarity_population,Strongly disagree
familiarity_individual,Strongly disagree
intrinsic_overall,Strongly disagree
intrinsic_mastery,Strongly agree
intrinsic_connectedness,Strongly agree
intrinsic_autonomy,Strongly agree
effort_mental,Strongly agree
effort_physical,Strongly disagree
generate_plan,Strongly agree
generate_process,Strongly disagree
generate_ideas,Strongly disagree
generate_creativity,Strongly agree
resolve_opinion,Strongly disagree
resolve_perspectives,Strongly disagree
resolve_information,Strongly disagree
resolve_data,Strongly disagree
options_evaluating,Strongly agree
options_independent,Strongly disagree
options_dependent,Strongly agree
metric_multiplicity_tradeoff,Strongly agree
