task_names,cluster
5 squares problem,1
9 Dot Problem,1
Abstract grid task,1
Advertisement writing,0
Aerospace Investment (Role-playing),2
Allocating resources to programs,0
Architectural design task,2
Battle of the sexes,2
Best job candidate (hidden-profile),2
Biopharm Seltek,0
Blocks World for Teams,1
Bullard Houses,2
Carter Racing,1
Categorization problem,2
Checkers,2
Cheering and Clapping,0
Chicken,2
Crisis mapping,2
Desert survival,3
Dictator game and its variants,0
Divergent Association Task,3
Energetics Meets Generex,2
Estimating geological metrics,1
Estimating pages of a book,1
Estimating social quantity,2
Euclidean traveling salesperson,2
Find the maximum,1
"Forecasting and Estimation in Groups, with Confidence",2
Game of Clue - Terrorist Attack,2
Graph coloring task,1
Guessing numbers,2
Hidden figures in a picture,2
Husbands and wives transfer,2
Image rating,1
Intergroup Prisoner's Dilemma,2
Intergroup Prisoner's Dilemma-Maximizing Difference,3
Investment game (hidden-profile),2
Iterated Snowdrift Game (aka Hawk-Dove game),3
Iterative lemonade stand task,0
Judgment of product and slogan,1
letters-to-numbers problems (cryptography),1
Logic Problem,1
Manipulation (change object to goal state),0
Mastermind,2
Minimal Group Paradigm (study diversity),2
Minimum-effort tacit coordination game,2
Mock jury,3
Moral Reasoning (Disciplinary Action Case),0
NASA Moon survival,1
New Recruit,0
Oligopoly game,1
Organization Game,0
pharmaceutical company (hidden-profile),2
Prisoner's Dilemma (various versions),2
Public goods game,2
Putting food into categories,0
Radio assembly task,2
Railroad Route Construction game,1
Random dot motion,2
"Rank cities by population, rank words by familiarity",1
Ravens Matrices,0
Reading the mind in the eyes,1
Recall association,1
Recall images,1
Recall stories,0
Recall videos,1
Recall word lists,0
Room assignment task,2
Run a mini business,1
Search for Oil Task,2
Sequential dyadic die-rolling,1
Shopping plan,2
Space Fortress,2
Splitting a deck of cards,1
"Strike Group Defender (developed by Metateq, Inc.)",2
Sudoku,1
Summarize Discussion,0
Target Search,2
The beer game,2
The Fish game,2
The maximum of a function,2
The N light bulbs game,2
To evacuate or not to evacuate,0
TOPSIM - general mgmt business game,2
Trivia Multiple Choice Quiz,3
Ultimatum game (various versions),3
Unscramble words (anagrams),1
Viking,2
Volunteer Investment Game,2
Whac-A-Mole,0
Wildcam Gorongosa (Zooniverse),1
Wildcat Wells,2
"Wolf, goat and cabbage transfer",2
Word completion given part of word,1
Word completion given starting letter,3
Word construction from a subset of letters,2
Writing story,0
